1036_at	3600
106_at	864
1107_s_at	9636
1134_at	10188
1140_at	3682
1211_s_at	8738
1249_at	2549
1326_at	843
1361_at	7013
1467_at	2059
1635_at	25
1636_g_at	25
1637_at	7867
1674_at	7525
174_s_at	50618
178_f_at	5379
2039_s_at	2534
31596_f_at	91316
31786_at	10656
32134_at	26136
32148_at	10160
32310_f_at	NA
32434_at	4082
32542_at	2273
32562_at	2022
32696_at	5090
32724_at	5264
32747_at	217
32961_at	10260
32979_at	2549
330_s_at	7277
33232_at	1396
33244_at	1124
33263_at	55556
33358_at	57460
33362_at	10602
33440_at	6935
33462_at	9934
336_at	6915
33700_at	10253
33774_at	841
33924_at	23258
33977_at	2672
33997_at	2549
34237_at	10767
34376_at	11142
34392_s_at	5861
34472_at	8323
34679_at	613
34707_at	1107
34798_at	573
34850_at	10477
35051_at	765
35125_at	6194
35162_s_at	92
35625_at	976
35664_at	22915
35769_at	9289
35775_at	56950
35831_at	10079
35912_at	4585
35933_f_at	5387
35951_at	9369
36021_at	51176
36053_at	1031
36119_at	857
36131_at	1192
36142_at	6310
36199_at	1611
36275_at	57556
36334_at	4063
36502_at	5218
36536_at	29970
36543_at	2152
36577_at	10979
36591_at	7277
36617_at	3397
36638_at	1490
36795_at	5660
36862_at	22870
36927_at	10964
37006_at	3512
37014_at	4599
37015_at	216
37027_at	79026
37043_at	3399
37093_at	8909
37105_at	1511
37147_at	6320
37351_at	7378
37363_at	9788
37398_at	5175
37403_at	301
37539_at	23179
37600_at	1893
37727_i_at	5955
37762_at	2012
37858_at	8292
37887_at	11200
37944_at	2643
37951_at	10395
38032_at	9900
38052_at	2162
38062_at	9771
38085_at	NA
38091_at	3965
38098_at	23175
38111_at	1462
38112_g_at	1462
38119_at	2995
38168_at	8821
38323_at	54504
38352_at	10465
38408_at	7102
38432_at	9636
38546_at	3556
38578_at	939
38631_at	7127
38736_at	9948
38994_at	8835
39070_at	6624
39108_at	4047
39143_at	4772
39236_s_at	2166
39263_at	4939
39317_at	8418
39319_at	3937
39329_at	87
39330_s_at	87
39372_at	3992
39373_at	3992
39631_at	2013
39730_at	25
39753_at	3678
39824_at	NA
39837_s_at	168544
39967_at	23641
39999_at	843
40019_at	2124
40051_at	9697
40076_at	7165
40132_g_at	NA
40167_s_at	55884
40196_at	10217
40202_at	687
40271_at	9688
40479_at	2534
40480_s_at	2534
40504_at	5445
40516_at	196
40795_at	7273
40818_at	3516
40855_at	23034
41015_at	5562
41038_at	4688
41071_at	6691
41123_s_at	5168
41138_at	4267
41193_at	1848
41195_at	4026
41274_at	131544
41343_at	8760
41439_at	4430
41478_at	23331
41815_at	23224
671_at	6678
754_s_at	400892
766_at	3965
879_at	4600
33275_at	2002
1500_at	7490
35281_at	3918
31841_at	1496
31928_at	2251
31510_s_at	3021
1638_at	2120
1802_s_at	2064
1012_at	8850
1011_s_at	7531
36869_at	7849
37156_at	2115
1337_s_at	5914
35730_at	125
36348_r_at	8341
36645_at	5970
38078_at	2317
34818_at	2119
1585_at	2065
33529_at	131
1145_g_at	2263
1209_at	7189
37352_at	6672
1345_s_at	5077
1049_g_at	6258
33519_at	130
1855_at	2248
41432_at	9252
1564_at	207
37104_at	5468
32221_at	28973
1837_at	22800
1844_s_at	5604
713_at	4149
1514_g_at	354
37273_at	2066
824_at	9446
38443_at	5781
1815_g_at	7048
1547_at	3718
32316_s_at	3320
35088_at	1237
1381_at	5915
1910_s_at	596
1727_at	2066
36117_at	5747
33073_at	5063
836_at	5727
35160_at	8861
37206_at	130
41192_at	56267
37057_s_at	7187
1080_s_at	1544
35200_at	8091
35081_at	2254
189_s_at	5329
41377_f_at	7364
1633_g_at	11040
1905_s_at	5925
1684_s_at	7490
39350_at	2719
2021_s_at	898
2038_g_at	596
1871_g_at	5781
37381_g_at	2959
1363_at	2263
38127_at	6382
37909_at	3909
2065_s_at	581
32184_at	4005
AFFX-HUMISGF3A/M97935_MA_at	6772
37431_at	9063
509_at	4089
35330_at	2318
794_at	5777
35149_at	958
40685_at	221
1419_g_at	4843
2017_s_at	595
38912_at	10
38438_at	4790
270_at	1576
1917_at	5894
41610_at	3911
34006_s_at	5599
34846_at	816
2044_s_at	5925
566_at	5371
40508_at	2941
AFFX-HSAC07/X00351_5_at	60
1439_s_at	9261
1852_at	7124
39333_at	1282
1758_r_at	1551
1830_s_at	7040
1973_s_at	4609
1039_s_at	3091
37421_f_at	3134
2032_s_at	3685
2047_s_at	3728
1615_at	598
979_g_at	604
34740_at	2309
32754_at	7170
35622_at	25759
1609_g_at	4233
34583_at	2322
390_at	1233
33563_s_at	1285
1518_at	2113
1082_at	5335
1466_s_at	2252
1002_f_at	1557
40328_at	7291
33670_at	2099
1812_s_at	4233
40330_at	51196
33831_at	1387
448_s_at	4221
41753_at	81
523_s_at	6822
393_s_at	861
36294_at	6789
1025_g_at	1543
1402_at	4067
1017_at	2956
38787_at	5371
36691_at	883
1503_at	675
884_at	3675
1494_f_at	1548
650_s_at	818
35640_at	862
1994_at	1386
31616_r_at	960
1928_s_at	4087
1999_s_at	1432
267_at	2475
36763_at	7476
1374_g_at	6929
33260_at	6654
37543_at	9459
41376_i_at	7364
39300_at	810
37220_at	2209
40438_at	4659
1401_g_at	1437
34160_at	71
32304_at	5578
1570_f_at	5925
38445_at	9138
34368_at	3066
38756_at	5906
37124_i_at	1577
1336_s_at	5579
1085_s_at	5336
2079_s_at	3481
388_at	5296
41137_at	4660
1717_s_at	330
1453_at	4087
36247_f_at	126
35638_at	862
34964_at	8351
38781_at	2939
40109_at	6722
1687_s_at	578
2008_s_at	4193
33903_at	1613
